"","date","site.id","observer","rs","fd","irs","rh","f1.pnt5to3","f1.gt3","f2.pnt5to3","f2.gt3","f3.pnt5to3","f3.gt3","x","y","notes"
"33",2016-01-12,"1601B","ed",310,91,418,64,"1","10","1","10","1","10",410980.5307,4020107.849,NA
"34",2016-01-12,"1617B","ed",280,84,380,34,"1","0","1","0","1","0",412773.772,4022057.3321,NA
"35",2016-01-12,"1621A","ed",210,77,670,24,"0","0","0","0","0","0",413868.1291,4021967.6341,NA
"36",2016-01-12,"1612A","ed",305,101,347,49,"3","6","3","5","1","2",411110.8303,4021908.7764,NA
"37",2016-01-12,"1601A","ed",310,88,470,46,"3","7","2","7","3","3",410898.0294,4020090.3907,NA
"38",2016-01-12,"1613A","ed",290,88,437,46,"1","7","1","6","2","2",411556.0701,4021773.0134,NA
"39",2016-01-12,"1615B","ed",300,97,375,42,"0","0","1","0","1","0",412114.8482,4022380.2637,NA
"40",2016-01-12,"1636A","SR",220,76,348,50,"0","0","0","0","0","1",415342.8084,4039788.9987,NA
"41",2016-01-12,"1635B","SR",230,56,395,20,"0","0","0","0","0","0",415649.909,4039684.1584,NA
"42",2016-01-12,"1635A","SR",220,53,355,45,"0","0","0","0","0","0",415707.9556,4039652.8383,NA
"43",2016-01-12,"1636B","SR",260,64,405,33,"0","0","0","0","0","0",415239.6861,4039774.8123,NA
"44",2016-01-14,"1633A","SR",440,98,293,52,"2","2","1","1","0","9",422078.3134,4037303.9883,NA
"45",2016-01-14,"1631A","SR",327,117,455,68,"3","1","6","1","2","10",422297.4104,4036930.9319,NA
"46",2016-01-14,"1632B","SR",255,120,401,72,"0","0","0","0","0","0",422137.9592,4037063.1622,NA
"47",2016-01-14,"1637A","SR",359,93,525,35,"1","1","1","2","1","2",416545.7672,4027062.0494,NA
"48",2016-01-14,"1632A","SR",550,110,290,72,"0","1","0","6","0","5",422200.6441,4037099.5388,NA
"49",2016-01-14,"1631B","SR",310,110,388,58,"1","0","1","1","0","1",422245.1438,4036897.456,NA
"50",2016-01-15,"1639A","SR",335,88,520,36,"0","7","0","8","1","4",416867.0804,4027072.4939,NA
"51",2016-01-14,"1634A","SR",570,104,294,62,"4","9","9","9","9","9",421937.0621,4037426.6288,NA
"52",2016-01-12,"1605A","wr",295,91,343,46,"0","7","0","4","1","5",411721.8462,4020413.6765,NA
"53",2016-01-15,"1640A","SR",312,78,410,30,"6","1","3","3","5","1",417033.8322,4027634.4515,NA
"54",2016-01-15,"1638B","SR",330,95,370,42,"8","2","2","1","3","1",416531.2992,4027766.6355,NA
"55",2016-01-15,"1638A","SR",303,86,404,28,"2","6","2","3","1","5",416690.0398,4027618.9955,NA
"56",2016-01-15,"1639B","SR",366,94,393,35,"1","0","2","0","0","6",417028.1394,4027264.5048,NA
"57",2016-01-15,"1640B","SR",323,78,400,28,"8","1","1","6","6","1",416851.8937,4027807.7041,NA
"58",2016-01-15,"1637B","SR",313,83,497,38,"6","0","3","4","2","4",416687.1978,4027267.0794,NA
